EventImage,ImageAttribution,EventName,EventDate,EventMonth,EventLocation,EventDescription
https://www.infoplease.com/sites/infoplease.com/files/inline-images/Fujimori.jpg,"Photo Source: AP Photo/Martin Mejia, File",Peru Reverses Ex-President's Pardon,10/3/2018,October,Peru,"On October 3, a Peruvian court reversed the pardon granted to ex-President Alberto Fujimori in December. Fujimori was accused of being linked to death squads and two massacres, but was pardoned due to health concerns. The appeal was made by one of the victims' groups, and Fujimori has been sent back to prison. (BBC)"
https://www.infoplease.com/sites/infoplease.com/files/inline-images/Mansor.jpg,Photo Source: AP Photo/Yam G-Jun,Najib's Wife Charged,10/4/2018,October,Malaysia,"On October 4, Malaysia's ex-Prime Minister Najib's wife was charged with 17 counts of money laundering. Najib himself faces 32 charges. (Reuters)"
https://www.infoplease.com/sites/infoplease.com/files/inline-images/Congo_0.jpg,Photo Source: Henri Alimasi/Congo’s health ministry via AP,Fuel Tanker Crash in Congo,10/6/2018,October,Congo,"On October 6, a fuel tanker collided with a vehicle in Democratic Republic of Congo, killing 50 people and injuring over 100. Rescue workers are doing their best to help the victims. (Reuters)"
https://www.infoplease.com/sites/infoplease.com/files/inline-images/Mediterranean.jpg,Photo Source: Marine National via AP,Ships Collide in Mediterranean,10/7/2018,October,Mediterranean,"On October 7, two ships collided in the Mediterranean Sea. Though no deaths or injuries were reported, the crash did cause a fuel spill. (Reuters)"
https://www.infoplease.com/sites/infoplease.com/files/inline-images/Kenya%20Bus%20Crash.jpg,Photo Source: AP Photo/Washington Sigu,50 People Die in Kenya Bus Crash,10/9/2018,October,Kenya,"On October 9, at least 50 people, including 7 children, died in a Kenyan bus crash. Authorities believe the driver lost control, causing the crash. (CNN)"
https://www.infoplease.com/sites/infoplease.com/files/inline-images/PM%20Pashinyan.jpg,Photo Source: AP Photo/Frank Franklin II,Armenian PM to Resign,10/10/2018,October,Armenia,"On October 10, Armenia's Prime Minister Nikol Pashinyan he would hand in his resignation to prepare for the early election in December. (Reuters)"
https://www.infoplease.com/sites/infoplease.com/files/inline-images/Missing%20Journalist.jpg,Photo Source: AP Photo/Petros Giannakouris,Missing Saudi Journalist Feared Dead,10/15/2018,October,Saudi Arabia,"On October 15, unconfirmed reports claim that Saudi Arabia is about to admit that missing journalist, Jamal Khashoggi, has been killed during an interrogation gone wrong. Khashoggi was last seen entering a Saudi consulate. This issue has created tension between Saudi Arabia and its western allies. (BBC)"
https://www.infoplease.com/sites/infoplease.com/files/inline-images/Viktor%20Orban.jpg,"Photo Source: Aris Oikonomou, Pool Photo via AP",Shooting at Russian College,10/17/2018,October,Russia,"On October 17, a teenager went through a Crimea college and began shooting his fellow classmates before shooting himself. At least 19 people have died and multiple others were wounded during the attack. A motive has not yet been disclosed. (Reuters)"
https://www.infoplease.com/sites/infoplease.com/files/inline-images/Abdul%20Raziq.jpg,Photo Source: AP Photo,Hungary's PM Bans Gender Studies,10/19/2018,October,Hungary,"On October 19, Hungarian Prime Minister Viktor Orban banned all gender studies programs from universities because “people are born either male or female."" The decision is facing much backlash, and it is possible the ban will not succeed. (CNN)"
https://www.infoplease.com/sites/infoplease.com/files/inline-images/Khashoggi.jpg,Photo Source: CCTV/TRT World via AP,Khashoggi Confimed Dead,10/22/2018,October,Turkey,"On October 22, it was reported that the man behind journalist Khashoggi's death was giving orders via Skype. Khashoggi died in Turkey, after he entered the Saudi Arabia consulate. The story has changed many times, but his death is attributed to a chokehold by hitmen. (Reuters)"
https://www.infoplease.com/sites/infoplease.com/files/inline-images/Sahle-Work%20Zewde.jpg,"Photo Source: Simon Maina/Pool via AP, File",Ethiopia Approves First Female President,10/25/2018,October,Ethiopia,"On October 25, Ethiopian Parliament approved Sahle-Work Zewde as the first female president of the country. (Reuters)"
https://www.infoplease.com/sites/infoplease.com/files/inline-images/China%20Stabbing.jpg,Photo Source: AP Photo/Mark Schiefelbein,Stabbing in Chinese Kindergarten,10/26/2018,October,China,"On October 26, a woman wielding a knife entered a Chinese kindergarten and stabbed 14 children. The woman was apprehended by bystanders and school security. No deaths have been reported, and a motive has yet to be discovered. (CNN)"
https://www.infoplease.com/sites/infoplease.com/files/inline-images/Brazil%20Elections.jpg,Photo Source: AP Photo/Leo Correa,Voters Head to the Polls in Brazil,10/27/2018,October,Brazil,"On October 27, Brazilians headed to the polls to vote. As of late, far-right candidate Jair Bolsonaro remains in the lead. (BBC)"
https://www.infoplease.com/sites/infoplease.com/files/inline-images/Emergency%20Alert.jpg,Photo Source: AP Photo/Alex Brandon,Presidental Alert Tested,10/3/2014,October,United States of America,"On October 3, FEMA tested the first “presidential alert"" notification, which worked on over 200 million phones. The notification is meant to be an emergency alert, and unlike other alerts, it cannot be turned off. (BBC)"
https://www.infoplease.com/sites/infoplease.com/files/inline-images/Google_1.jpg,Photo Source: AP Photo/Richard Drew,Google Drops out of Pentagon Deal,10/8/2014,October,United States of America,"On October 8, Google announced that it would be dropping its bid for the $10 billion contract with the US Department of Justice. The company said it dropped out because its new ethic code does not align with the project guidelines. (Reuters)"
https://www.infoplease.com/sites/infoplease.com/files/inline-images/Poachers.jpg,Photo Source: AP Photo/Sue Ogrocki,New Technology to Fight Poachers,10/15/2014,October,Tanzania,"On October 15, Tanzanian rangers have started using EarthRanger, which is a new technology that tracks animal movements. This new technology should save the endangered elephants from the increasing number of poachers. (Reuters)"
https://www.infoplease.com/sites/infoplease.com/files/inline-images/Netflix_0.jpg,"Photo Source: AP Photo/Christophe Ena, File",Netflix Subscriber Growth,10/16/2014,October,United States of America,"On October 16, Netflix announced that it had gained 7 million new subscribers over the past few months. This growth is much more than Wall Street expected, and has reassured investors. (Reuters)"
https://www.infoplease.com/sites/infoplease.com/files/inline-images/Zuckerberg.jpg,Photo Source: Charles Platiau/Pool photo via AP,Facebook Fined for Scandal,10/25/2014,October,United States of America,"On October 25, Facebook was fined $641,651 for its role in the Cambridge Analytica scandal. The fine was administered by UK data protection, and is the maximum amount allowed. (BBC)"
https://www.infoplease.com/sites/infoplease.com/files/inline-images/Microsoft_1.jpg,"Photo Source: AP Photo/Altaf Qadri, File",Microsoft Overtakes Amazon,10/26/2014,October,United States of America,"On October 26, Microsoft regained its spot as the second most valuable US company after Amazon's disappointing quarterly report. (Reuters)"
https://www.infoplease.com/sites/infoplease.com/files/inline-images/Mercedes.jpg,Photo Source: 123RF/man64,Mercedes Reveals Electric Car,9/4/2014,September,Sweden,"On September 4, Mercedes revealed its attempt at an electric car in Stockholm. The electric car industry is currently dominated by Tesla, but Mercedes is working tirelessly to gain the top spot. (Reuters)"
https://www.infoplease.com/sites/infoplease.com/files/inline-images/British%20Airways.jpg,Photo Source: AP Photo/Frank Augstein,Cyber Attack on British Airways,9/6/2014,September,England,"On September 6, British Airways apologized after announcing that a two-week long attack compromised credit card information of 380,000 customers. (Reuters)"
https://www.infoplease.com/sites/infoplease.com/files/inline-images/Apple_2.jpg,Photo Source: AP Photo/Marcio Jose Sanchez,Apple Announces New Phones and Watch,9/12/2014,September,United States of America,"On September 12, Apple announced the new iPhone XS, XS Max, and XR. Each new phone has a hefty price tag of around $1,000 plus the price to add headphones, which were not included this time. The watch has fall-detection and is FDA approved to track heart rate. (BBC)"
https://www.infoplease.com/sites/infoplease.com/files/inline-images/Ice%20Glaciers.jpg,Photo Source: AP Photo/David Goldman,Underwater Walls Could Help Melting Glaciers,9/21/2014,September,United States of America,"On September 21, scientists said that building underwater walls could prevent glaciers from melting and sea levels from rising. The barriers would be made of sand and rock, and would stop warm water from reaching the ice. (CNN)"
https://www.infoplease.com/sites/infoplease.com/files/inline-images/Porsche_0.jpg,Photo Source: Hoo-Me.com / MediaPunch /IPX,Porsche to End Diesel Cars,9/23/2014,September,Germany,"On September 23, Porsche announced that it will stop making diesel cars, and instead focus on environment-friendly models instead. The company said it will continue to serve customers who already own diesel cars. (BBC)"
